roinum	x	y	z	v1	v2	v3	v4
1	143	69	23	2.972027	1.044133	1879	1373
1	144	69	23	2.698988	0.9658975	1853	1532
1	145	69	23	2.600177	0.964159	1858	1555
1	146	69	23	2.66482	1.026913	1877	1517
1	147	69	23	2.801493	1.094883	1894	1554
1	143	70	23	3.239217	1.068804	1891	1330
1	144	70	23	3.028974	1.026002	1872	1428
1	145	70	23	2.876602	1.024264	1915	1512
1	146	70	23	2.821502	1.059366	1887	1544
1	147	70	23	2.842434	1.099933	1928	1505
1	142	71	23	3.49748	1.068887	1913	1087
1	143	71	23	3.41406	1.075675	1887	1094
1	144	71	23	3.28539	1.083458	1907	1498
1	145	71	23	3.119166	1.081885	1925	1576
1	146	71	23	2.983416	1.078739	1836	1573
1	147	71	23	2.906153	1.083872	1813	1535
1	148	71	23	2.863981	1.084617	1886	1597
1	142	72	23	3.427604	0.9971089	1853	1146
1	143	72	23	3.429143	1.062098	1880	1110
1	144	72	23	3.381123	1.113841	1929	1305
1	145	72	23	3.246605	1.109371	1879	1527
1	146	72	23	3.096079	1.068473	1898	1666
1	147	72	23	2.984956	1.036599	1830	1574
1	148	72	23	2.920313	1.026251	1879	1558
1	141	73	23	3.40698	0.9168037	1907	1031
1	142	73	23	3.322329	0.9668082	1839	1066
1	143	73	23	3.319559	1.048769	1862	1123
1	144	73	23	3.2897	1.097532	1954	1341
1	145	73	23	3.19212	1.081802	1955	1609
1	146	73	23	3.073916	1.021697	1902	1625
1	147	73	23	2.98003	0.9717755	1778	1672
1	148	73	23	2.910462	0.9586949	1822	1626
1	149	73	23	2.842126	0.9399018	1897	1626
1	141	74	23	3.399592	0.9354312	1904	1155
1	142	74	23	3.255839	0.999841	1938	1160
1	143	74	23	3.182885	1.061105	1932	1158
1	144	74	23	3.116396	1.065906	1906	1393
1	145	74	23	3.018508	1.026499	1909	1561
1	146	74	23	2.916619	0.9751699	1851	1579
1	147	74	23	2.833815	0.9443724	1804	1562
1	148	74	23	2.749471	0.9434617	1854	1602
1	149	74	23	2.651276	0.9342722	1826	1650
1	140	75	23	3.487014	0.978233	1826	1351
1	141	75	23	3.344492	0.9991786	1860	1403
1	142	75	23	3.210897	1.061436	1927	1362
1	143	75	23	3.089	1.084948	1990	1415
1	144	75	23	2.964024	1.044795	1907	1531
1	145	75	23	2.828274	0.9929695	1937	1568
1	146	75	23	2.710993	0.9697886	1886	1636
1	147	75	23	2.62388	0.9753355	1834	1590
1	148	75	23	2.538613	0.9921416	1844	1612
1	149	75	23	2.443496	0.9944597	1802	1613
1	150	75	23	2.360384	0.9792265	1913	1659
1	140	76	23	3.222902	0.9970261	1860	1407
1	141	76	23	3.176113	1.044795	1894	1353
1	142	76	23	3.130556	1.100181	1911	1338
1	143	76	23	3.037593	1.099188	1926	1513
1	144	76	23	2.872293	1.037841	1908	1608
1	145	76	23	2.676209	0.9847734	1853	1562
1	146	76	23	2.528762	0.9806339	1808	1609
1	147	76	23	2.467198	1.007954	1824	1572
1	148	76	23	2.440725	1.038172	1857	1641
1	149	76	23	2.3807	1.055061	1840	1662
1	150	76	23	2.2902	1.062264	1861	1641
1	139	77	23	2.981261	0.9549694	1890	1435
1	140	77	23	2.925546	1.004974	1906	1370
1	141	77	23	2.966794	1.062678	1855	1381
1	142	77	23	3.026511	1.102665	1917	1499
1	143	77	23	2.982801	1.085941	1924	1557
1	144	77	23	2.782408	1.022442	1918	1601
1	145	77	23	2.522606	0.9689607	1851	1602
1	146	77	23	2.365001	0.9612613	1895	1539
1	147	77	23	2.377622	0.9875054	1915	1552
1	148	77	23	2.465043	1.024264	1836	1591
1	149	77	23	2.470892	1.059366	1838	1670
1	150	77	23	2.369003	1.089501	1915	1627
1	151	77	23	2.299435	1.112931	1929	1570
1	139	78	23	2.819039	0.970037	1909	1472
1	140	78	23	2.75101	1.029314	1834	1472
1	141	78	23	2.826735	1.076586	1866	1461
1	142	78	23	2.935396	1.094469	1903	1535
1	143	78	23	2.89107	1.065493	1870	1593
1	144	78	23	2.632499	1.002821	1952	1556
1	145	78	23	2.312671	0.9482635	1905	1637
1	146	78	23	2.167379	0.9297188	1907	1628
1	147	78	23	2.289584	0.9427994	1914	1592
1	148	78	23	2.514603	0.9754182	1863	1644
1	149	78	23	2.606949	1.020538	1848	1623
1	150	78	23	2.511832	1.065658	1876	1628
1	151	78	23	2.369003	1.090246	1901	1581
1	138	79	23	3.058217	0.9530653	1918	1448
1	139	79	23	2.832891	1.015488	1869	1523
1	140	79	23	2.746701	1.0669	1918	1507
1	141	79	23	2.78641	1.090495	1897	1558
1	142	79	23	2.827966	1.083375	1896	1566
1	143	79	23	2.723614	1.0491	1886	1615
1	144	79	23	2.444111	1.000007	1881	1585
1	145	79	23	2.138136	0.9614269	1922	1614
1	146	79	23	2.031629	0.9440413	1916	1565
1	147	79	23	2.215091	0.9404814	1921	1561
1	148	79	23	2.51922	0.9507471	1868	1614
1	149	79	23	2.687907	0.9851874	1862	1597
1	150	79	23	2.642965	1.033784	1919	1675
1	151	79	23	2.485359	1.05771	1897	1644
1	138	80	23	3.129016	0.9750043	1884	1545
1	139	80	23	2.87691	1.039911	1902	1501
1	140	80	23	2.763016	1.076503	1841	1514
1	141	80	23	2.743315	1.071619	1911	1592
1	142	80	23	2.71007	1.043967	1917	1561
1	143	80	23	2.570934	1.017061	1949	1632
1	144	80	23	2.329909	1.005471	1858	1615
1	145	80	23	2.103659	1.012756	1878	1622
1	146	80	23	2.057486	1.017144	1912	1607
1	147	80	23	2.238486	0.9944597	1903	1608
1	148	80	23	2.514603	0.9612613	1936	1563
1	149	80	23	2.71007	0.9672222	1939	1572
1	150	80	23	2.751318	1.019545	1943	1669
1	151	80	23	2.663589	1.056137	1895	1584
1	137	81	23	3.536266	0.9085249	1959	1405
1	138	81	23	3.131787	0.9677189	1963	1594
1	139	81	23	2.850437	1.027079	1861	1687
1	140	81	23	2.699912	1.044216	1929	1590
1	141	81	23	2.632499	1.013667	1876	1529
1	142	81	23	2.573704	0.9726034	1922	1531
1	143	81	23	2.470584	0.9615097	1946	1533
1	144	81	23	2.325292	0.9971917	1881	1615
1	145	81	23	2.210782	1.060525	1876	1580
1	146	81	23	2.218169	1.095462	1946	1598
1	147	81	23	2.368079	1.053985	1982	1536
1	148	81	23	2.596176	0.9720239	1948	1538
1	149	81	23	2.809189	0.9503332	1947	1536
1	150	81	23	2.931702	1.022608	1961	1601
1	136	82	23	3.880104	0.9012395	1858	1286
1	137	82	23	3.451922	0.9223506	1879	1456
1	138	82	23	3.043442	0.9750871	1890	1563
1	139	82	23	2.743007	1.01259	1878	1608
1	140	82	23	2.563546	1.000586	1917	1622
1	141	82	23	2.480434	0.9524857	1873	1511
1	142	82	23	2.452115	0.9136578	1932	1604
1	143	82	23	2.425334	0.9182112	1936	1610
1	144	82	23	2.377006	0.9779019	1910	1573
1	145	82	23	2.348994	1.068887	1886	1619
1	146	82	23	2.405633	1.122037	1922	1557
1	147	82	23	2.560776	1.072364	1941	1485
1	148	82	23	2.786718	0.9630827	1937	1459
1	149	82	23	3.028358	0.9328648	2008	1572
1	150	82	23	3.201663	1.043967	1983	1550
1	136	83	23	3.632922	0.9305467	1875	1338
1	137	83	23	3.274616	0.9665598	1937	1439
1	138	83	23	2.908308	1.01971	1820	1556
1	139	83	23	2.621725	1.03246	1933	1582
1	140	83	23	2.448729	0.9898235	1920	1641
1	141	83	23	2.394552	0.9316229	1872	1660
1	142	83	23	2.433337	0.9052961	1938	1545
1	143	83	23	2.48105	0.9215227	1924	1526
1	144	83	23	2.486283	0.9726862	1896	1545
1	145	83	23	2.494286	1.042063	1894	1651
1	146	83	23	2.586325	1.081636	1874	1540
1	147	83	23	2.782716	1.036102	1999	1517
1	148	83	23	3.05637	0.9437101	2053	1433
